Geo Point,Geo Shape,OBJECTID,NeworkID
"-37.8353820253, 144.98314993895","{""coordinates"": [[144.9831761568, -37.8353854474], [144.9831237211, -37.8353786032]], ""type"": ""LineString""}",33607,
"-37.7968358057, 144.9446793687","{""coordinates"": [[144.944760395, -37.7968456688], [144.9445983424, -37.7968259426]], ""type"": ""LineString""}",33611,
"-37.822954036400006, 144.93961387094998","{""coordinates"": [[144.939605449, -37.8229776741], [144.9396222929, -37.8229303987]], ""type"": ""LineString""}",33612,
"-37.807828272, 144.96133290795","{""coordinates"": [[144.9613019363, -37.807759961], [144.9613638796, -37.807896583]], ""type"": ""LineString""}",33658,
"-37.81197827225, 144.96476523635","{""coordinates"": [[144.964738657, -37.8119859293], [144.9647918157, -37.8119706152]], ""type"": ""LineString""}",33662,
"-37.7996954124, 144.9526134159","{""coordinates"": [[144.9525863977, -37.7997173112], [144.9526404341, -37.7996735136]], ""type"": ""LineString""}",33688,
"-37.803894834649995, 144.95875911245002","{""coordinates"": [[144.9587650285, -37.8038931317], [144.9587531964, -37.8038965376]], ""type"": ""LineString""}",33690,
"-37.8072141837, 144.9625590366","{""coordinates"": [[144.9625421512, -37.8072192454], [144.962575922, -37.807209122]], ""type"": ""LineString""}",33707,
"-37.795385568949996, 144.92015557295","{""coordinates"": [[144.9201116862, -37.7954079035], [144.9201994597, -37.7953632344]], ""type"": ""LineString""}",33709,
"-37.83592662835, 144.97652755025","{""coordinates"": [[144.9765845617, -37.8359342526], [144.9764705388, -37.8359190041]], ""type"": ""LineString""}",33724,
"-37.796989638, 144.93005958794998","{""coordinates"": [[144.9300942068, -37.7970264552], [144.9300249691, -37.7969528208]], ""type"": ""LineString""}",33729,
"-37.799618986249996, 144.96633110369999","{""coordinates"": [[144.9663068303, -37.7996165088], [144.9663553771, -37.7996214637]], ""type"": ""LineString""}",33736,
"-37.78896028255, 144.92486492165","{""coordinates"": [[144.9248981785, -37.7889397662], [144.9248316648, -37.7889807989]], ""type"": ""LineString""}",33752,
"-37.7942407324, 144.91743113295001","{""coordinates"": [[144.9174502795, -37.7942428215], [144.9174119864, -37.7942386433]], ""type"": ""LineString""}",33755,
"-37.79615479075, 144.91816287365","{""coordinates"": [[144.9181965827, -37.796188616], [144.9181291646, -37.7961209655]], ""type"": ""LineString""}",33771,
"-37.7980618904, 144.9300153325","{""coordinates"": [[144.9300405063, -37.7980880668], [144.9299901587, -37.798035714]], ""type"": ""LineString""}",33812,
"-37.7937868544, 144.93195416085","{""coordinates"": [[144.9319161717, -37.7937822564], [144.93199215, -37.7937914524]], ""type"": ""LineString""}",33816,
"-37.80623484495, 144.9480020592","{""coordinates"": [[144.9480613778, -37.806275023], [144.9479427406, -37.8061946669]], ""type"": ""LineString""}",33845,
"-37.805336897100005, 144.9482093616","{""coordinates"": [[144.9482071686, -37.8053391249], [144.9482115546, -37.8053346693]], ""type"": ""LineString""}",33857,
"-37.79008582295, 144.92682923045","{""coordinates"": [[144.9268650392, -37.7901218699], [144.9267934217, -37.790049776]], ""type"": ""LineString""}",33860,
"-37.788698181849995, 144.92558897915","{""coordinates"": [[144.9255802804, -37.7886893066], [144.9255976779, -37.7887070571]], ""type"": ""LineString""}",33866,
"-37.80504741295, 144.95673412539998","{""coordinates"": [[144.9567264052, -37.8050901709], [144.9567418456, -37.805004655]], ""type"": ""LineString""}",33891,
"-37.794950227200005, 144.93541779035002","{""coordinates"": [[144.9354317101, -37.7949159585], [144.9354038706, -37.7949844959]], ""type"": ""LineString""}",33895,
"-37.8017815318, 144.94265043734998","{""coordinates"": [[144.942581491, -37.8017639313], [144.9427193837, -37.8017991323]], ""type"": ""LineString""}",33912,
"-37.79973382365, 144.9539175404","{""coordinates"": [[144.9539312713, -37.7997446055], [144.9539038095, -37.7997230418]], ""type"": ""LineString""}",33923,
"-37.802741993249995, 144.94613878755","{""coordinates"": [[144.9461271687, -37.8028083045], [144.9461504064, -37.802675682]], ""type"": ""LineString""}",33936,
"-37.7942160232, 144.92578187729998","{""coordinates"": [[144.9257568478, -37.7941886832], [144.9258069068, -37.7942433632]], ""type"": ""LineString""}",33956,
"-37.810299744, 144.96712801299998","{""coordinates"": [[144.9671345848, -37.8102978149], [144.9671214412, -37.8103016731]], ""type"": ""LineString""}",33957,
"-37.795817397, 144.93675119275","{""coordinates"": [[144.9367998606, -37.7958134081], [144.9367025249, -37.7958213859]], ""type"": ""LineString""}",33962,
"-37.7981122822, 144.93070175294997","{""coordinates"": [[144.9307506926, -37.7981017914], [144.9306528133, -37.798122773]], ""type"": ""LineString""}",34070,
"-37.8054654982, 144.96825479860001","{""coordinates"": [[144.9682655482, -37.8054662154], [144.968244049, -37.805464781]], ""type"": ""LineString""}",34073,
"-37.793803215400004, 144.92096890829998","{""coordinates"": [[144.9209466825, -37.7937799995], [144.9209911341, -37.7938264313]], ""type"": ""LineString""}",34086,
"-37.802947348800004, 144.9415435643","{""coordinates"": [[144.941595028, -37.8029532927], [144.9414921006, -37.8029414049]], ""type"": ""LineString""}",34090,
"-37.79793484535, 144.97347511095","{""coordinates"": [[144.9734743574, -37.7979395217], [144.9734758645, -37.797930169]], ""type"": ""LineString""}",34146,
"-37.815148993150004, 144.9849116005","{""coordinates"": [[144.9849176431, -37.8151113187], [144.9849055579, -37.8151866676]], ""type"": ""LineString""}",34152,
"-37.77593345565, 144.93979997719998","{""coordinates"": [[144.9398486469, -37.7759395743], [144.9397513075, -37.775927337]], ""type"": ""LineString""}",34154,
"-37.795704919749994, 144.93405588285","{""coordinates"": [[144.9340654894, -37.795658448], [144.9340462763, -37.7957513915]], ""type"": ""LineString""}",34165,
"-37.80907508055, 144.9560883072","{""coordinates"": [[144.9560912952, -37.8090579213], [144.9560853192, -37.8090922398]], ""type"": ""LineString""}",34180,
"-37.804142413250005, 144.96793683599998","{""coordinates"": [[144.9680254359, -37.804151877], [144.9678482361, -37.8041329495]], ""type"": ""LineString""}",34184,
"-37.799914839, 144.93187269715003","{""coordinates"": [[144.9318540819, -37.7999427972], [144.9318913124, -37.7998868808]], ""type"": ""LineString""}",34202,
"-37.8040681182, 144.96193349785","{""coordinates"": [[144.9620123735, -37.8040773078], [144.9618546222, -37.8040589286]], ""type"": ""LineString""}",34290,
"-37.80055568305, 144.9664468022","{""coordinates"": [[144.9664475716, -37.8005501987], [144.9664460328, -37.8005611674]], ""type"": ""LineString""}",34300,
"-37.815510805399995, 144.93694157854998","{""coordinates"": [[144.9369753401, -37.8154979267], [144.936907817, -37.8155236841]], ""type"": ""LineString""}",34309,
"-37.8030561845, 144.94907055854998","{""coordinates"": [[144.9490614525, -37.80312723], [144.9490796646, -37.802985139]], ""type"": ""LineString""}",34318,
"-37.79866130805, 144.96783969630002","{""coordinates"": [[144.9678495853, -37.7985991978], [144.9678298073, -37.7987234183]], ""type"": ""LineString""}",34338,
"-37.80655131165, 144.94608310015","{""coordinates"": [[144.9460849393, -37.8065486596], [144.946081261, -37.8065539637]], ""type"": ""LineString""}",34341,
"-37.806681347099996, 144.9594337968","{""coordinates"": [[144.9594213356, -37.8066868347], [144.959446258, -37.8066758595]], ""type"": ""LineString""}",34506,
"-37.7914566844, 144.9328722196","{""coordinates"": [[144.9328791456, -37.7914140245], [144.9328652936, -37.7914993443]], ""type"": ""LineString""}",34508,
"-37.81531562765, 144.93657350065","{""coordinates"": [[144.9366103121, -37.8153799563], [144.9365366892, -37.815251299]], ""type"": ""LineString""}",34531,
"-37.78998420795, 144.92264773525","{""coordinates"": [[144.9226729502, -37.7900089718], [144.9226225203, -37.7899594441]], ""type"": ""LineString""}",34532,
"-37.79862486595, 144.92890854285002","{""coordinates"": [[144.9288809756, -37.7985954607], [144.9289361101, -37.7986542712]], ""type"": ""LineString""}",34533,
"-37.8043162395, 144.94957105845","{""coordinates"": [[144.9495687842, -37.8043409543], [144.9495733327, -37.8042915247]], ""type"": ""LineString""}",34539,
"-37.81312773105, 144.94234201205","{""coordinates"": [[144.9423765683, -37.8131835669], [144.9423074558, -37.8130718952]], ""type"": ""LineString""}",34555,
"-37.800022718099996, 144.966320925","{""coordinates"": [[144.9663503827, -37.8000257109], [144.9662914673, -37.8000197253]], ""type"": ""LineString""}",34587,
"-37.828377681350005, 144.96646544610002","{""coordinates"": [[144.9664749368, -37.8283402798], [144.9664559554, -37.8284150829]], ""type"": ""LineString""}",34599,
"-37.7959986164, 144.93768014285","{""coordinates"": [[144.9376869421, -37.795964681], [144.9376733436, -37.7960325518]], ""type"": ""LineString""}",34624,
"-37.822888276650005, 144.9378963223","{""coordinates"": [[144.9378506508, -37.8228773638], [144.9379419938, -37.8228991895]], ""type"": ""LineString""}",34631,
"-37.810320183849996, 144.97092995949998","{""coordinates"": [[144.9709469707, -37.8103150145], [144.9709129483, -37.8103253532]], ""type"": ""LineString""}",34663,
"-37.816752236400006, 144.95398723875","{""coordinates"": [[144.9539845595, -37.8167462313], [144.953989918, -37.8167582415]], ""type"": ""LineString""}",34678,
"-37.80511962835, 144.94259226855","{""coordinates"": [[144.9426444459, -37.8051248165], [144.9425400912, -37.8051144402]], ""type"": ""LineString""}",34723,
"-37.79718690565, 144.9297239443","{""coordinates"": [[144.9297582421, -37.797223647], [144.9296896465, -37.7971501643]], ""type"": ""LineString""}",34731,
"-37.80096412135, 144.96581956595","{""coordinates"": [[144.9658049673, -37.8009626449], [144.9658341646, -37.8009655978]], ""type"": ""LineString""}",34744,
"-37.820863835349996, 144.9220478627","{""coordinates"": [[144.9220484121, -37.8209327097], [144.9220473133, -37.820794961]], ""type"": ""LineString""}",34767,
"-37.779934854749996, 144.9398310587","{""coordinates"": [[144.939731309, -37.7799686506], [144.9399308084, -37.7799010589]], ""type"": ""LineString""}",34789,
"-37.795727572749996, 144.92165908840002","{""coordinates"": [[144.9216852497, -37.7957565737], [144.9216329271, -37.7956985718]], ""type"": ""LineString""}",34810,
"-37.8217693362, 144.9533647372","{""coordinates"": [[144.9533728741, -37.821787662], [144.9533566003, -37.8217510104]], ""type"": ""LineString""}",34811,
"-37.794858686699996, 144.92466754175","{""coordinates"": [[144.9246427365, -37.7948314171], [144.924692347, -37.7948859563]], ""type"": ""LineString""}",34817,
"-37.835080591099995, 144.9823982543","{""coordinates"": [[144.9824497396, -37.8350875442], [144.982346769, -37.835073638]], ""type"": ""LineString""}",34847,
"-37.8012972573, 144.9551868452","{""coordinates"": [[144.9552544486, -37.801351829], [144.9551192418, -37.8012426856]], ""type"": ""LineString""}",34863,
"-37.82599235475, 144.90899564465","{""coordinates"": [[144.9090387945, -37.8259680218], [144.9089524948, -37.8260166877]], ""type"": ""LineString""}",34864,
"-37.8088143296, 144.96218397435","{""coordinates"": [[144.9621667288, -37.8087765787], [144.9622012199, -37.8088520805]], ""type"": ""LineString""}",34895,
"-37.82273809425, 144.93794805919998","{""coordinates"": [[144.9379046818, -37.8227275983], [144.9379914366, -37.8227485902]], ""type"": ""LineString""}",34909,
"-37.810000605499994, 144.96197976525","{""coordinates"": [[144.9619771487, -37.8099949684], [144.9619823818, -37.8100062426]], ""type"": ""LineString""}",34911,
"-37.808281669050004, 144.9435112888","{""coordinates"": [[144.9435804889, -37.8082563272], [144.9434420887, -37.8083070109]], ""type"": ""LineString""}",34915,
"-37.794029983049995, 144.91894058834998","{""coordinates"": [[144.91891081, -37.7940475826], [144.9189703667, -37.7940123835]], ""type"": ""LineString""}",34934,
"-37.7998188054, 144.95359201809998","{""coordinates"": [[144.9536051452, -37.7998076805], [144.953578891, -37.7998299303]], ""type"": ""LineString""}",34939,
"-37.79793938915, 144.96663232295","{""coordinates"": [[144.9666302475, -37.7979517504], [144.9666343984, -37.7979270279]], ""type"": ""LineString""}",34985,
"-37.81480745995, 144.95517346475","{""coordinates"": [[144.955185306, -37.8148039987], [144.9551616235, -37.8148109212]], ""type"": ""LineString""}",35012,
"-37.8013382727, 144.91071245895","{""coordinates"": [[144.9107343583, -37.8013838328], [144.9106905596, -37.8012927126]], ""type"": ""LineString""}",35014,
"-37.810668667550004, 144.9847324527","{""coordinates"": [[144.9847303025, -37.8106807372], [144.9847346029, -37.8106565979]], ""type"": ""LineString""}",35018,
"-37.83725213465, 144.97881134795","{""coordinates"": [[144.9788118857, -37.8372495237], [144.9788108102, -37.8372547456]], ""type"": ""LineString""}",35047,
"-37.78573027035, 144.95893924925","{""coordinates"": [[144.9589251699, -37.7857291626], [144.9589533286, -37.7857313781]], ""type"": ""LineString""}",35058,
"-37.8277939102, 144.9583506989","{""coordinates"": [[144.9583545852, -37.8277928358], [144.9583468126, -37.8277949846]], ""type"": ""LineString""}",35064,
"-37.80894036425, 144.9681995145","{""coordinates"": [[144.9681770191, -37.8089467295], [144.9682220099, -37.808933999]], ""type"": ""LineString""}",35065,
"-37.807524430300006, 144.94487829625","{""coordinates"": [[144.9448524339, -37.8075625235], [144.9449041586, -37.8074863371]], ""type"": ""LineString""}",35083,
"-37.7938269631, 144.9264549838","{""coordinates"": [[144.9264304807, -37.7938004702], [144.9264794869, -37.793853456]], ""type"": ""LineString""}",35086,
"-37.81379752095001, 144.96189920505","{""coordinates"": [[144.9618863746, -37.813801073], [144.9619120355, -37.8137939689]], ""type"": ""LineString""}",35115,
"-37.824195678600006, 144.94457254355","{""coordinates"": [[144.9445834036, -37.824065488], [144.9445616835, -37.8243258692]], ""type"": ""LineString""}",35116,
"-37.7966597421, 144.9285662588","{""coordinates"": [[144.9285317415, -37.7966223905], [144.9286007761, -37.7966970937]], ""type"": ""LineString""}",35144,
"-37.8009908486, 144.97260749795","{""coordinates"": [[144.9726158285, -37.8009433165], [144.9725991674, -37.8010383807]], ""type"": ""LineString""}",35145,
"-37.836918637699995, 144.9828329942","{""coordinates"": [[144.9828619249, -37.8369223718], [144.9828040635, -37.8369149036]], ""type"": ""LineString""}",35147,
"-37.816156433450004, 144.96050657155","{""coordinates"": [[144.9605164075, -37.8161781194], [144.9604967356, -37.8161347475]], ""type"": ""LineString""}",35153,
"-37.837080104099996, 144.9819836528","{""coordinates"": [[144.9820392443, -37.837086246], [144.9819280613, -37.8370739622]], ""type"": ""LineString""}",35163,
"-37.7985894846, 144.94367367655","{""coordinates"": [[144.9436556602, -37.7985707527], [144.9436916929, -37.7986082165]], ""type"": ""LineString""}",35167,
"-37.79355173285, 144.92953816635","{""coordinates"": [[144.9295461186, -37.7935739406], [144.9295302141, -37.7935295251]], ""type"": ""LineString""}",35171,
"-37.808482568399995, 144.96874187100002","{""coordinates"": [[144.9687352887, -37.8084844956], [144.9687484533, -37.8084806412]], ""type"": ""LineString""}",35184,
"-37.83285067725, 144.98754924119999","{""coordinates"": [[144.9875452113, -37.8328501636], [144.9875532711, -37.8328511909]], ""type"": ""LineString""}",35191,
"-37.805686693400006, 144.95888599404998","{""coordinates"": [[144.9588647915, -37.8056930775], [144.9589071966, -37.8056803093]], ""type"": ""LineString""}",35208,
"-37.8003916358, 144.950696144","{""coordinates"": [[144.95068396, -37.8004586096], [144.950708328, -37.800324662]], ""type"": ""LineString""}",35210,
"-37.79571513835, 144.96545321345","{""coordinates"": [[144.9654511593, -37.7957271755], [144.9654552676, -37.7957031012]], ""type"": ""LineString""}",35213,
"-37.798460704, 144.97016176935","{""coordinates"": [[144.97015405, -37.798459832], [144.9701694887, -37.798461576]], ""type"": ""LineString""}",35219,
"-37.7906463021, 144.92164495605","{""coordinates"": [[144.9217613686, -37.7905801476], [144.9215285435, -37.7907124566]], ""type"": ""LineString""}",35266,
"-37.799678894, 144.9279142781","{""coordinates"": [[144.927925629, -37.7996291521], [144.9279029272, -37.7997286359]], ""type"": ""LineString""}",35269,
"-37.78933034835, 144.9246446115","{""coordinates"": [[144.9246631867, -37.7893488857], [144.9246260363, -37.789311811]], ""type"": ""LineString""}",35282,
"-37.8096211788, 144.9668163425","{""coordinates"": [[144.9668227829, -37.8096191713], [144.9668099021, -37.8096231863]], ""type"": ""LineString""}",35294,
"-37.82590596395, 144.95747704845","{""coordinates"": [[144.9574838859, -37.8259039779], [144.957470211, -37.82590795]], ""type"": ""LineString""}",35306,
"-37.822336956200004, 144.9336782094","{""coordinates"": [[144.9336599555, -37.8223926409], [144.9336964633, -37.8222812715]], ""type"": ""LineString""}",35321,
"-37.796032714649996, 144.9709202093","{""coordinates"": [[144.9709242856, -37.7960331359], [144.970916133, -37.7960322934]], ""type"": ""LineString""}",35325,
"-37.79358755595, 144.93007912645","{""coordinates"": [[144.9300731204, -37.7935884403], [144.9300851325, -37.7935866716]], ""type"": ""LineString""}",35330,
"-37.792659586149995, 144.92189421770001","{""coordinates"": [[144.9219126944, -37.792647964], [144.921875741, -37.7926712083]], ""type"": ""LineString""}",35332,
"-37.79864912065, 144.95330208945","{""coordinates"": [[144.9532977113, -37.7986525357], [144.9533064676, -37.7986457056]], ""type"": ""LineString""}",35336,
"-37.7962444144, 144.97412988935002","{""coordinates"": [[144.9740697569, -37.796238624], [144.9741900218, -37.7962502048]], ""type"": ""LineString""}",35344,
"-37.7920264128, 144.9255492001","{""coordinates"": [[144.9255467944, -37.7920278718], [144.9255516058, -37.7920249538]], ""type"": ""LineString""}",35366,
"-37.8260741167, 144.97022668725","{""coordinates"": [[144.9702280689, -37.8260431194], [144.9702253056, -37.826105114]], ""type"": ""LineString""}",35372,
"-37.79455587545, 144.92675839375","{""coordinates"": [[144.926755863, -37.7945530913], [144.9267609245, -37.7945586596]], ""type"": ""LineString""}",35376,
"-37.77683029765, 144.94197030105","{""coordinates"": [[144.9419211905, -37.7768243461], [144.9420194116, -37.7768362492]], ""type"": ""LineString""}",35396,
"-37.83194378245, 144.9877351376","{""coordinates"": [[144.9877301801, -37.8319431187], [144.9877400951, -37.8319444462]], ""type"": ""LineString""}",35411,
"-37.79426654435, 144.92935713104998","{""coordinates"": [[144.9293576844, -37.7942637474], [144.9293565777, -37.7942693413]], ""type"": ""LineString""}",35413,
"-37.799132121499994, 144.96737519165","{""coordinates"": [[144.9673817187, -37.7991328217], [144.9673686646, -37.7991314213]], ""type"": ""LineString""}",35415,
"-37.797742220399996, 144.95140162360002","{""coordinates"": [[144.9513683817, -37.7977158568], [144.9514348655, -37.797768584]], ""type"": ""LineString""}",35432,
"-37.80194140645, 144.9523753328","{""coordinates"": [[144.9523694049, -37.8019594314], [144.9523812607, -37.8019233815]], ""type"": ""LineString""}",35445,
"-37.790488025, 144.9247030724","{""coordinates"": [[144.9246845938, -37.7904993858], [144.924721551, -37.7904766642]], ""type"": ""LineString""}",35458,
"-37.7983788586, 144.96522552965","{""coordinates"": [[144.965236432, -37.7983162371], [144.9652146273, -37.7984414801]], ""type"": ""LineString""}",35465,
"-37.7994312006, 144.9736098643","{""coordinates"": [[144.9735995455, -37.7994970754], [144.9736201831, -37.7993653258]], ""type"": ""LineString""}",35467,
"-37.8241840929, 144.9619479597","{""coordinates"": [[144.9619435965, -37.8241808511], [144.9619523229, -37.8241873347]], ""type"": ""LineString""}",35470,
"-37.801523025449995, 144.95349479215","{""coordinates"": [[144.9535646503, -37.8014599955], [144.953424934, -37.8015860554]], ""type"": ""LineString""}",35477,
"-37.79596286305, 144.91952169755","{""coordinates"": [[144.919496819, -37.7959350423], [144.9195465761, -37.7959906838]], ""type"": ""LineString""}",35487,
"-37.7945076541, 144.94076108565","{""coordinates"": [[144.9407521302, -37.7945549453], [144.9407700411, -37.7944603629]], ""type"": ""LineString""}",35492,
"-37.809595661450004, 144.95101899654998","{""coordinates"": [[144.951016523, -37.8095915185], [144.9510214701, -37.8095998044]], ""type"": ""LineString""}",35494,
"-37.78907764915, 144.9257097349","{""coordinates"": [[144.9256690878, -37.7890370207], [144.925750382, -37.7891182776]], ""type"": ""LineString""}",35495,
"-37.7987083884, 144.9296185522","{""coordinates"": [[144.9296245351, -37.7986900646], [144.9296125693, -37.7987267122]], ""type"": ""LineString""}",35513,
"-37.8045164256, 144.95833479614998","{""coordinates"": [[144.9583209873, -37.804520583], [144.958348605, -37.8045122682]], ""type"": ""LineString""}",35517,
"-37.83266579175, 144.9868462391","{""coordinates"": [[144.9868805867, -37.8326702086], [144.9868118915, -37.8326613749]], ""type"": ""LineString""}",35519,
"-37.7910863488, 144.93162778240003","{""coordinates"": [[144.9316882193, -37.7910926456], [144.9315673455, -37.791080052]], ""type"": ""LineString""}",35570,
"-37.80859454395, 144.94900501975","{""coordinates"": [[144.9490114997, -37.8085908327], [144.9489985398, -37.8085982552]], ""type"": ""LineString""}",35578,
"-37.7976255268, 144.9306033821","{""coordinates"": [[144.9305788412, -37.7975987646], [144.930627923, -37.797652289]], ""type"": ""LineString""}",35580,
"-37.8093606927, 144.93325768205","{""coordinates"": [[144.9332068623, -37.8096536149], [144.9333085018, -37.8090677705]], ""type"": ""LineString""}",35588,
"-37.8152474958, 144.98577300165","{""coordinates"": [[144.9857805096, -37.8152108111], [144.9857654937, -37.8152841805]], ""type"": ""LineString""}",35597,
"-37.79398695845, 144.91966860029999","{""coordinates"": [[144.9196425818, -37.7939583007], [144.9196946188, -37.7940156162]], ""type"": ""LineString""}",35617,
"-37.7949059974, 144.94587945565002","{""coordinates"": [[144.9458957141, -37.7948377772], [144.9458631972, -37.7949742176]], ""type"": ""LineString""}",35626,
"-37.8008278207, 144.9514139604","{""coordinates"": [[144.9513559561, -37.8008262935], [144.9514719647, -37.8008293479]], ""type"": ""LineString""}",35671,
"-37.79598846379999, 144.92284941935","{""coordinates"": [[144.9228690605, -37.7960102775], [144.9228297782, -37.7959666501]], ""type"": ""LineString""}",35672,
"-37.802667737899995, 144.96464703380002","{""coordinates"": [[144.9646339152, -37.8027485509], [144.9646601524, -37.8025869249]], ""type"": ""LineString""}",35673,
"-37.82171355565, 144.95106066854999","{""coordinates"": [[144.9510512007, -37.8216946988], [144.9510701364, -37.8217324125]], ""type"": ""LineString""}",35676,
"-37.814735450049994, 144.98821163325","{""coordinates"": [[144.9882976247, -37.8147435497], [144.9881256418, -37.8147273504]], ""type"": ""LineString""}",35711,
"-37.80577950495, 144.9469651155","{""coordinates"": [[144.9469793136, -37.8057131958], [144.9469509174, -37.8058458141]], ""type"": ""LineString""}",35713,
"-37.81612294365, 144.98780851215","{""coordinates"": [[144.9877171711, -37.8161127868], [144.9878998532, -37.8161331005]], ""type"": ""LineString""}",35729,
"-37.795674448849994, 144.94131131365","{""coordinates"": [[144.9413229566, -37.7956125506], [144.9412996707, -37.7957363471]], ""type"": ""LineString""}",35730,
"-37.8125404308, 144.9709531636","{""coordinates"": [[144.970958055, -37.8125389957], [144.9709482722, -37.8125418659]], ""type"": ""LineString""}",35733,
"-37.8125687888, 144.99051626895","{""coordinates"": [[144.9905377616, -37.8125231107], [144.9904947763, -37.8126144669]], ""type"": ""LineString""}",52746,
"-37.825175354749994, 144.96264143685","{""coordinates"": [[144.962745534, -37.8252256465], [144.9625373397, -37.825125063]], ""type"": ""LineString""}",52753,
"-37.7905280917, 144.92582967545002","{""coordinates"": [[144.9258400384, -37.7905275542], [144.9258193125, -37.7905286292]], ""type"": ""LineString""}",52757,
"-37.79874935135, 144.95325605","{""coordinates"": [[144.9533710854, -37.7987106932], [144.9531410146, -37.7987880095]], ""type"": ""LineString""}",52771,
"-37.8385871759, 144.97779914475","{""coordinates"": [[144.9779167593, -37.8386780863], [144.9776815302, -37.8384962655]], ""type"": ""LineString""}",52785,
"-37.7940789662, 144.9183897626","{""coordinates"": [[144.9184297986, -37.7941213675], [144.9183497266, -37.7940365649]], ""type"": ""LineString""}",52794,
"-37.823273611199994, 144.93613805889999","{""coordinates"": [[144.9359807351, -37.8228803743], [144.9362953827, -37.8236668481]], ""type"": ""LineString""}",52802,
"-37.81200659055, 144.97257296805","{""coordinates"": [[144.9726058184, -37.8119645174], [144.9725401177, -37.8120486637]], ""type"": ""LineString""}",52818,
"-37.79651514915, 144.91921666155","{""coordinates"": [[144.9192637356, -37.7964745743], [144.9191695875, -37.796555724]], ""type"": ""LineString""}",52820,
"-37.8050113796, 144.94164440685","{""coordinates"": [[144.9417855948, -37.8050013428], [144.9415032189, -37.8050214164]], ""type"": ""LineString""}",52822,
"-37.81355428135, 144.988995921","{""coordinates"": [[144.9890117962, -37.813464494], [144.9889800458, -37.8136440687]], ""type"": ""LineString""}",52842,
"-37.836002934, 144.9766635912","{""coordinates"": [[144.9765725872, -37.8359919833], [144.9767545952, -37.8360138847]], ""type"": ""LineString""}",52846,
"-37.8093751035, 144.96213167834998","{""coordinates"": [[144.9621905803, -37.8094021376], [144.9620727764, -37.8093480694]], ""type"": ""LineString""}",52853,
"-37.81499698695, 144.9883433563","{""coordinates"": [[144.9882550988, -37.8149978028], [144.9884316138, -37.8149961711]], ""type"": ""LineString""}",52889,
"-37.79553909375, 144.9412180442","{""coordinates"": [[144.9411175503, -37.7955892329], [144.9413185381, -37.7954889546]], ""type"": ""LineString""}",52890,
"-37.8237041899, 144.96314632485002","{""coordinates"": [[144.9630396514, -37.8236444431], [144.9632529983, -37.8237639367]], ""type"": ""LineString""}",52902,
"-37.79856949755, 144.9563737693","{""coordinates"": [[144.9572545129, -37.7982464793], [144.9554930257, -37.7988925158]], ""type"": ""LineString""}",52912,
"-37.80424432905, 144.9546161378","{""coordinates"": [[144.9546194462, -37.804226737], [144.9546128294, -37.8042619211]], ""type"": ""LineString""}",52923,
"-37.78818936385, 144.92784219735","{""coordinates"": [[144.9278656462, -37.7881236789], [144.9278187485, -37.7882550488]], ""type"": ""LineString""}",52946,
"-37.79410684225, 144.96557860935","{""coordinates"": [[144.9654807696, -37.7941776506], [144.9656764491, -37.7940360339]], ""type"": ""LineString""}",52949,
"-37.835386774849994, 144.97634962705","{""coordinates"": [[144.9764674591, -37.835402331], [144.976231795, -37.8353712187]], ""type"": ""LineString""}",52954,
"-37.8138735414, 144.98803731035","{""coordinates"": [[144.9881005479, -37.8138932903], [144.9879740728, -37.8138537925]], ""type"": ""LineString""}",52955,
"-37.8132765253, 144.9601452217","{""coordinates"": [[144.9601284309, -37.8133503142], [144.9601620125, -37.8132027364]], ""type"": ""LineString""}",52977,
"-37.7934471949, 144.9449147596","{""coordinates"": [[144.9450171245, -37.7934586008], [144.9448123947, -37.793435789]], ""type"": ""LineString""}",52990,
"-37.78911679535, 144.92604720705","{""coordinates"": [[144.925988229, -37.7890567357], [144.9261061851, -37.789176855]], ""type"": ""LineString""}",52993,
"-37.81386491255001, 144.96781965775","{""coordinates"": [[144.9677794279, -37.8139618837], [144.9678598876, -37.8137679414]], ""type"": ""LineString""}",53001,
"-37.8184092309, 144.9501606362","{""coordinates"": [[144.9500629189, -37.8181685439], [144.9502583535, -37.8186499179]], ""type"": ""LineString""}",53009,
"-37.825261154100005, 144.96254110405","{""coordinates"": [[144.9625448684, -37.8253972452], [144.9625373397, -37.825125063]], ""type"": ""LineString""}",53011,
"-37.79978202855, 144.9698735795","{""coordinates"": [[144.9699251809, -37.7997877029], [144.9698219781, -37.7997763542]], ""type"": ""LineString""}",53017,
"-37.811040209898714, 144.96324710524658","{""coordinates"": [[144.9634748274, -37.8113473217], [144.9633569382, -37.8111871705], [144.9633532217, -37.8111792669], [144.9632258029, -37.8110135328], [144.9632141146, -37.8109968328], [144.9630189447, -37.8107333159]], ""type"": ""LineString""}",53024,
"-37.814427245299996, 144.99000846795002","{""coordinates"": [[144.9899868322, -37.8144901027], [144.9900301037, -37.8143643879]], ""type"": ""LineString""}",53029,
"-37.81574798216704, 144.96730998557422","{""coordinates"": [[144.9672733683, -37.815423625], [144.967342725, -37.8160400463], [144.9673511642, -37.8160714754]], ""type"": ""LineString""}",53060,
"-37.81842639014151, 144.98929028975732","{""coordinates"": [[144.9892475147, -37.8187925691], [144.9892613562, -37.8187103476], [144.9893017749, -37.8182961026], [144.9893163708, -37.8182139102], [144.9893295494, -37.8180598182]], ""type"": ""LineString""}",53064,
