Geo Point,Geo Shape,OBJECTID,NeworkID
"-37.788197822, 144.9283628924","{""coordinates"": [[144.9284224963, -37.7881829043], [144.9283032885, -37.7882127397]], ""type"": ""LineString""}",66802,
"-37.805265123699996, 144.94364695655","{""coordinates"": [[144.943679197, -37.8053467451], [144.9436147161, -37.8051835023]], ""type"": ""LineString""}",66816,
"-37.80008115145, 144.9728873567","{""coordinates"": [[144.9727048218, -37.7999482256], [144.9730698916, -37.8002140773]], ""type"": ""LineString""}",66831,
"-37.798145641350004, 144.9730654023","{""coordinates"": [[144.9729948069, -37.7981385848], [144.9731359977, -37.7981526979]], ""type"": ""LineString""}",66839,
"-37.7927855448, 144.97056788455","{""coordinates"": [[144.9705998522, -37.7926345686], [144.9705359169, -37.792936521]], ""type"": ""LineString""}",66840,
"-37.8157351757, 144.95197723835","{""coordinates"": [[144.9527675382, -37.8164533462], [144.9511869385, -37.8150170052]], ""type"": ""LineString""}",66841,
"-37.79321096145, 144.92655712015","{""coordinates"": [[144.9266380288, -37.7931643363], [144.9264762115, -37.7932575866]], ""type"": ""LineString""}",66843,
"-37.8148822213, 144.96931672545","{""coordinates"": [[144.9692474478, -37.814843383], [144.9693860031, -37.8149210596]], ""type"": ""LineString""}",66848,
"-37.813806559300005, 144.9389605436","{""coordinates"": [[144.9388597227, -37.8138760061], [144.9390613645, -37.8137371125]], ""type"": ""LineString""}",66886,
"-37.81436883655, 144.96354595","{""coordinates"": [[144.9634296649, -37.8143048763], [144.9636622351, -37.8144327968]], ""type"": ""LineString""}",66891,
"-37.79700043295, 144.9733449005","{""coordinates"": [[144.9731838141, -37.7970232579], [144.9735059869, -37.796977608]], ""type"": ""LineString""}",67000,
"-37.81301449765, 144.93781390139998","{""coordinates"": [[144.9376444683, -37.8130778264], [144.9379833345, -37.8129511689]], ""type"": ""LineString""}",67001,
"-37.807589529750004, 144.9589953279","{""coordinates"": [[144.958993783, -37.807467846], [144.9589968728, -37.8077112135]], ""type"": ""LineString""}",67003,
"-37.7995562857, 144.9305134415","{""coordinates"": [[144.9306625622, -37.7995439946], [144.9303643208, -37.7995685768]], ""type"": ""LineString""}",67046,
"-37.808511580849995, 144.96636882159999","{""coordinates"": [[144.9663709522, -37.8086347545], [144.966366691, -37.8083884072]], ""type"": ""LineString""}",67048,
"-37.806226667999994, 144.95771670070002","{""coordinates"": [[144.9578018057, -37.8062178855], [144.9576315957, -37.8062354505]], ""type"": ""LineString""}",67058,
"-37.81487166785, 144.96173976935","{""coordinates"": [[144.9617309797, -37.8148149273], [144.961748559, -37.8149284084]], ""type"": ""LineString""}",67066,
"-37.801273353650004, 144.95101190675","{""coordinates"": [[144.9510165142, -37.8012234118], [144.9510072993, -37.8013232955]], ""type"": ""LineString""}",67083,
"-37.78082984135, 144.95937526425","{""coordinates"": [[144.9595286933, -37.7808423044], [144.9592218352, -37.7808173783]], ""type"": ""LineString""}",67090,
"-37.795391094050004, 144.94656373155","{""coordinates"": [[144.9466424248, -37.7954000658], [144.9464850383, -37.7953821223]], ""type"": ""LineString""}",67095,
"-37.81149159825, 144.98471499315002","{""coordinates"": [[144.9847114185, -37.8115983101], [144.9847185678, -37.8113848864]], ""type"": ""LineString""}",67097,
"-37.790100397450004, 144.92706797649998","{""coordinates"": [[144.9270067912, -37.7900353741], [144.9271291618, -37.7901654208]], ""type"": ""LineString""}",67117,
"-37.80531310455, 144.9643887561","{""coordinates"": [[144.9644590996, -37.8053205535], [144.9643184126, -37.8053056556]], ""type"": ""LineString""}",67122,
"-37.80722772375, 144.9551363706","{""coordinates"": [[144.9550845843, -37.8072218166], [144.9551881569, -37.8072336309]], ""type"": ""LineString""}",67129,
"-37.8118201873, 144.9722792266","{""coordinates"": [[144.9722621353, -37.8117279071], [144.9722963179, -37.8119124675]], ""type"": ""LineString""}",67130,
"-37.810684179800006, 144.96554054155","{""coordinates"": [[144.9654238149, -37.81080673], [144.9656572682, -37.8105616296]], ""type"": ""LineString""}",67135,
"-37.812074500449995, 144.9604303442","{""coordinates"": [[144.9604670584, -37.8120416532], [144.96039363, -37.8121073477]], ""type"": ""LineString""}",67150,
"-37.80658980335, 144.96569244475","{""coordinates"": [[144.9657510863, -37.8065965164], [144.9656338032, -37.8065830903]], ""type"": ""LineString""}",67156,
"-37.8453179949, 144.9794809581","{""coordinates"": [[144.9791428492, -37.8450980906], [144.979819067, -37.8455378992]], ""type"": ""LineString""}",67158,
"-37.801486865550004, 144.9665556752","{""coordinates"": [[144.9666146391, -37.8015299876], [144.9664967113, -37.8014437435]], ""type"": ""LineString""}",67161,
"-37.8044317056, 144.95718097125","{""coordinates"": [[144.9572761569, -37.8044422465], [144.9570857856, -37.8044211647]], ""type"": ""LineString""}",67163,
"-37.8045993951, 144.9656010077","{""coordinates"": [[144.9655293524, -37.804683163], [144.965672663, -37.8045156272]], ""type"": ""LineString""}",67164,
"-37.820260661700004, 144.94130256475","{""coordinates"": [[144.9411983403, -37.8204451927], [144.9414067892, -37.8200761307]], ""type"": ""LineString""}",67171,
"-37.8135861973, 144.96882779605","{""coordinates"": [[144.9686803383, -37.8136695421], [144.9689752538, -37.8135028525]], ""type"": ""LineString""}",67173,
"-37.799907455699994, 144.93226918430003","{""coordinates"": [[144.9322872927, -37.8000506871], [144.9322510759, -37.7997642243]], ""type"": ""LineString""}",67175,
"-37.81978394125, 144.95480733575","{""coordinates"": [[144.9547126681, -37.8198727531], [144.9549020034, -37.8196951294]], ""type"": ""LineString""}",67179,
"-37.80890400035, 144.9604572979","{""coordinates"": [[144.9605148712, -37.808884959], [144.9603997246, -37.8089230417]], ""type"": ""LineString""}",67186,
"-37.8143410752, 144.95403180395","{""coordinates"": [[144.9541412233, -37.8144716948], [144.9539223846, -37.8142104556]], ""type"": ""LineString""}",67189,
"-37.81146608135, 144.96087990295","{""coordinates"": [[144.960938354, -37.8115080376], [144.9608214519, -37.8114241251]], ""type"": ""LineString""}",67192,
"-37.81972887565, 144.95478221025002","{""coordinates"": [[144.9546624171, -37.8197626219], [144.9549020034, -37.8196951294]], ""type"": ""LineString""}",67193,
"-37.80084147475, 144.9460934682","{""coordinates"": [[144.9460234879, -37.8008166114], [144.9461634485, -37.8008663381]], ""type"": ""LineString""}",67211,
"-37.81580695085, 144.9626389934","{""coordinates"": [[144.9625889775, -37.8155962625], [144.9626890093, -37.8160176392]], ""type"": ""LineString""}",67213,
"-37.8022709443, 144.9571727243","{""coordinates"": [[144.9572772707, -37.8022328155], [144.9570681779, -37.8023090731]], ""type"": ""LineString""}",67214,
"-37.80900401620001, 144.9768249883","{""coordinates"": [[144.9767819778, -37.8090178416], [144.9768679988, -37.8089901908]], ""type"": ""LineString""}",67215,
"-37.78876011125, 144.93415741565002","{""coordinates"": [[144.9341571178, -37.7886897306], [144.9341577135, -37.7888304919]], ""type"": ""LineString""}",67236,
"-37.8129579094, 144.9614470474","{""coordinates"": [[144.961429285, -37.8130052714], [144.9614648098, -37.8129105474]], ""type"": ""LineString""}",67240,
"-37.81278648335, 144.9650503056","{""coordinates"": [[144.9651063079, -37.8127772981], [144.9649943033, -37.8127956686]], ""type"": ""LineString""}",67254,
"-37.80314144875, 144.9432135516","{""coordinates"": [[144.9432855957, -37.8031482962], [144.9431415075, -37.8031346013]], ""type"": ""LineString""}",67256,
"-37.800888804799996, 144.96356683135","{""coordinates"": [[144.9637194294, -37.800904964], [144.9634142333, -37.8008726456]], ""type"": ""LineString""}",67257,
"-37.81214400435, 144.96694484255","{""coordinates"": [[144.9669348424, -37.8120940074], [144.9669548427, -37.8121940013]], ""type"": ""LineString""}",67270,
"-37.8112732266, 144.95988630095002","{""coordinates"": [[144.9599044967, -37.8113129318], [144.9598681052, -37.8112335214]], ""type"": ""LineString""}",67281,
"-37.8225584895, 144.95945216730001","{""coordinates"": [[144.9602528214, -37.8218156376], [144.9586515132, -37.8233013414]], ""type"": ""LineString""}",67282,
"-37.803107290949995, 144.94706106274998","{""coordinates"": [[144.947095121, -37.8029151833], [144.9470270045, -37.8032993986]], ""type"": ""LineString""}",67287,
"-37.8453141743, 144.97961983675","{""coordinates"": [[144.9794206065, -37.8450904494], [144.979819067, -37.8455378992]], ""type"": ""LineString""}",67292,
"-37.8010417191, 144.96415939859997","{""coordinates"": [[144.9640302577, -37.8010923852], [144.9642885395, -37.800991053]], ""type"": ""LineString""}",67294,
"-37.79547449825, 144.9379049139","{""coordinates"": [[144.937894327, -37.7954038978], [144.9379155008, -37.7955450987]], ""type"": ""LineString""}",67297,
"-37.80147270685, 144.94548822595","{""coordinates"": [[144.9455581393, -37.801481104], [144.9454183126, -37.8014643097]], ""type"": ""LineString""}",67311,
"-37.80593695705, 144.94220045285","{""coordinates"": [[144.9422701615, -37.8059539084], [144.9421307442, -37.8059200057]], ""type"": ""LineString""}",67390,
"-37.82038970825, 144.9436530937","{""coordinates"": [[144.9438462536, -37.8203338401], [144.9434599338, -37.8204455764]], ""type"": ""LineString""}",67393,
"-37.82332106155, 144.9580457087","{""coordinates"": [[144.9574399042, -37.8233407817], [144.9586515132, -37.8233013414]], ""type"": ""LineString""}",67395,
"-37.8138149985, 144.96799079875","{""coordinates"": [[144.9681217099, -37.8138620556], [144.9678598876, -37.8137679414]], ""type"": ""LineString""}",67408,
"-37.79540352195, 144.95764466635","{""coordinates"": [[144.9577380529, -37.7954105607], [144.9575512798, -37.7953964832]], ""type"": ""LineString""}",67418,
"-37.80652814205, 144.9547797327","{""coordinates"": [[144.9548628374, -37.80652762], [144.954696628, -37.8065286641]], ""type"": ""LineString""}",67421,
"-37.81156879765, 144.97564771865","{""coordinates"": [[144.9755498404, -37.8115143762], [144.9757455969, -37.8116232191]], ""type"": ""LineString""}",67430,
"-37.81713701535, 144.96583747329998","{""coordinates"": [[144.9657721365, -37.8172111172], [144.9659028101, -37.8170629135]], ""type"": ""LineString""}",67432,
"-37.778427304350004, 144.9389297054","{""coordinates"": [[144.9390500908, -37.7783111292], [144.93880932, -37.7785434795]], ""type"": ""LineString""}",67434,
"-37.80161287555, 144.96653741455","{""coordinates"": [[144.9665985135, -37.8016197729], [144.9664763156, -37.8016059782]], ""type"": ""LineString""}",67451,
"-37.814584967550005, 144.9640339085","{""coordinates"": [[144.9640188268, -37.8145818131], [144.9640489902, -37.814588122]], ""type"": ""LineString""}",67466,
"-37.81747568795, 144.96256058280002","{""coordinates"": [[144.9626793218, -37.8176670507], [144.9624418438, -37.8172843252]], ""type"": ""LineString""}",67494,
"-37.814709042299995, 144.96574034935","{""coordinates"": [[144.9656705281, -37.8146934136], [144.9658101706, -37.814724671]], ""type"": ""LineString""}",67511,
"-37.80733033765, 144.9596713105","{""coordinates"": [[144.9597900345, -37.8073080238], [144.9595525865, -37.8073526515]], ""type"": ""LineString""}",67517,
"-37.80602331025, 144.9556346658","{""coordinates"": [[144.9556656528, -37.8059802268], [144.9556036788, -37.8060663937]], ""type"": ""LineString""}",67518,
"-37.80473120495, 144.96648648815","{""coordinates"": [[144.9664182214, -37.8047443503], [144.9665547549, -37.8047180596]], ""type"": ""LineString""}",67521,
"-37.7886344268, 144.9583416495","{""coordinates"": [[144.9585662635, -37.7886742037], [144.9581170355, -37.7885946499]], ""type"": ""LineString""}",67526,
"-37.81620706795, 144.9673189953","{""coordinates"": [[144.9672868264, -37.8163426605], [144.9673511642, -37.8160714754]], ""type"": ""LineString""}",67549,
"-37.82371534165, 144.94574666595","{""coordinates"": [[144.9464851715, -37.8237313914], [144.9450081604, -37.8236992919]], ""type"": ""LineString""}",67555,
"-37.80700003325, 144.9609883556","{""coordinates"": [[144.9609444716, -37.8069032593], [144.9610322396, -37.8070968072]], ""type"": ""LineString""}",67567,
"-37.80845092395001, 144.97428722395","{""coordinates"": [[144.9742979884, -37.8083425541], [144.9742764595, -37.8085592938]], ""type"": ""LineString""}",67587,
"-37.81192439625001, 144.97184612455","{""coordinates"": [[144.971786967, -37.8118650923], [144.9719052821, -37.8119837002]], ""type"": ""LineString""}",67589,
"-37.781151077800004, 144.9592616276","{""coordinates"": [[144.9594888829, -37.7811693648], [144.9590343723, -37.7811327908]], ""type"": ""LineString""}",67595,
"-37.81844808935, 144.9456370858","{""coordinates"": [[144.9460228991, -37.8184460075], [144.9452512725, -37.8184501712]], ""type"": ""LineString""}",67601,
"-37.805445133700005, 144.94908002825002","{""coordinates"": [[144.9490691086, -37.8054311546], [144.9490909479, -37.8054591128]], ""type"": ""LineString""}",67606,
"-37.81176191005, 144.96055024465","{""coordinates"": [[144.9605599344, -37.811709223], [144.9605405549, -37.8118145971]], ""type"": ""LineString""}",67636,
"-37.8031624654, 144.95849260354998","{""coordinates"": [[144.9584224186, -37.8031503273], [144.9585627885, -37.8031746035]], ""type"": ""LineString""}",67661,
"-37.8162364506, 144.9666356413","{""coordinates"": [[144.9666485021, -37.816145402], [144.9666227805, -37.8163274992]], ""type"": ""LineString""}",67664,
"-37.81287019955, 144.9372691888","{""coordinates"": [[144.9375208173, -37.8130000702], [144.9370175603, -37.8127403289]], ""type"": ""LineString""}",67682,
"-37.7949062869, 144.968581522","{""coordinates"": [[144.9680676544, -37.7951541852], [144.9690953896, -37.7946583886]], ""type"": ""LineString""}",67690,
