area,central_asset_id,feature_location,feature_type,site_class,site_name,type,json_ogc_wkt_crs,json_geometry,geo_point_2d
Alfredton,00212249,,PF-Path Lights,No Code Allocated,Learmonth Street ser,Bollard Light 2,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.813338, -37.553759], ""type"": ""Point""}","-37.553759, 143.813338"
Alfredton,00212260,,PF-Path Lights,No Code Allocated,Learmonth Street ser,Bollard Light 2,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.813311, -37.553799], ""type"": ""Point""}","-37.553799, 143.813311"
Alfredton,00212273,Alfredton Recreation Reserve,PF-Sports Ground Lig,OS-District,Alfredton Recreation,3 Rounded Square Lig,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7986198273, -37.5555908126], ""type"": ""Point""}","-37.5555908126, 143.7986198273"
Lake Wendouree,00212363,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8218250083, -37.5497820805], ""type"": ""Point""}","-37.5497820805, 143.8218250083"
Lake Wendouree,00212364,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8215800345, -37.5499180282], ""type"": ""Point""}","-37.5499180282, 143.8215800345"
Lake Wendouree,00212368,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.82152995, -37.5495279684], ""type"": ""Point""}","-37.5495279684, 143.82152995"
Lake Wendouree,00212369,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.82170305, -37.5490750041], ""type"": ""Point""}","-37.5490750041, 143.82170305"
Lake Wendouree,00212371,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8210390287, -37.5491629545], ""type"": ""Point""}","-37.5491629545, 143.8210390287"
Lake Wendouree,00212373,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8211579673, -37.5488079517], ""type"": ""Point""}","-37.5488079517, 143.8211579673"
Lake Wendouree,00212380,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8213460083, -37.5478530136], ""type"": ""Point""}","-37.5478530136, 143.8213460083"
Lake Wendouree,00212381,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8218070637, -37.5479509955], ""type"": ""Point""}","-37.5479509955, 143.8218070637"
Lake Wendouree,00212390,Ballarat Botanical Gardens,PF-Pole Lights,OS-Regional,Ballarat Botanical G,Street,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8227129771, -37.5464120426], ""type"": ""Point""}","-37.5464120426, 143.8227129771"
Lake Wendouree,00212393,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8214679617, -37.5471970403], ""type"": ""Point""}","-37.5471970403, 143.8214679617"
Lake Wendouree,00212394,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8221289727, -37.5469160084], ""type"": ""Point""}","-37.5469160084, 143.8221289727"
Lake Wendouree,00212397,Ballarat Botanical Gardens,PF-Heritage Lighting,OS-Regional,Ballarat Botanical G,Decorative Lantern,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.821113915, -37.5462940731], ""type"": ""Point""}","-37.5462940731, 143.821113915"
Buninyong,00212444,Buninyong Botanic Gardens,PF-Pole Lights,OS-Regional,Buninyong Botanic Ga,Fluro on pole,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.887034, -37.65274], ""type"": ""Point""}","-37.65274, 143.887034"
Buninyong,00212488,Buninyong Community Facility,PF-Sports Ground Lig,OS-District,Buninyong Recreation,8 Square on Crossbar,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8919615439, -37.6484029997], ""type"": ""Point""}","-37.6484029997, 143.8919615439"
Buninyong,00212489,Buninyong Community Facility,PF-Sports Ground Lig,OS-District,Buninyong Recreation,8 Square on Crossbar,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8905631242, -37.6483372151], ""type"": ""Point""}","-37.6483372151, 143.8905631242"
Buninyong,00212491,Buninyong Community Facility,PF-Sports Ground Lig,OS-District,Buninyong Recreation,Dual Downlight,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8904850171, -37.6496360186], ""type"": ""Point""}","-37.6496360186, 143.8904850171"
Buninyong,00212492,Buninyong Community Facility,PF-Sports Ground Lig,OS-District,Buninyong Recreation,2 Square Lights on C,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8908889734, -37.6499320462], ""type"": ""Point""}","-37.6499320462, 143.8908889734"
Canadian,00212495,Canadian Gully Reserve (Canadian Creek),PF-Street Light,OS-Neighbourhood,Canadian Gully Reser,2 DownSteet Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8674039409, -37.5885750463], ""type"": ""Point""}","-37.5885750463, 143.8674039409"
Canadian,00212496,Canadian Gully Reserve (Canadian Creek),PF-Street Light,OS-Neighbourhood,Canadian Gully Reser,2 DownSteet Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8678909704, -37.5884659994], ""type"": ""Point""}","-37.5884659994, 143.8678909704"
Canadian,00212497,Canadian Gully Reserve (Canadian Creek),PF-Street Light,OS-Neighbourhood,Canadian Gully Reser,2 DownSteet Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8683920571, -37.5883899411], ""type"": ""Point""}","-37.5883899411, 143.8683920571"
Canadian,00212498,Canadian Gully Reserve (Canadian Creek),PF-Street Light,OS-Neighbourhood,Canadian Gully Reser,2 DownSteet Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8688879568, -37.5883149978], ""type"": ""Point""}","-37.5883149978, 143.8688879568"
Cardigan Village,00212510,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,1 Rectangular Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7093090154, -37.5145589935], ""type"": ""Point""}","-37.5145589935, 143.7093090154"
Cardigan Village,00212513,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,1 Rectangular Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7089831777, -37.5144143074], ""type"": ""Point""}","-37.5144143074, 143.7089831777"
Cardigan Village,00212514,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,Lamp on Tall Steel P,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7096059946, -37.5133929642], ""type"": ""Point""}","-37.5133929642, 143.7096059946"
Cardigan Village,00212517,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,Lamp on Tall Steel P,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.708743, -37.512979], ""type"": ""Point""}","-37.512979, 143.708743"
Cardigan Village,00212519,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,Lamp on Tall Steel P,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7081759752, -37.5127129774], ""type"": ""Point""}","-37.5127129774, 143.7081759752"
Cardigan Village,00212522,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,Lamp on Tall Steel P,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7072130545, -37.5122919954], ""type"": ""Point""}","-37.5122919954, 143.7072130545"
Cardigan Village,00212524,Cardigan Village Reserve,PF-Pole Lights,OS-Neighbourhood,Cardigan Village Res,Lamp on Tall Steel P,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.7088473591, -37.5148577937], ""type"": ""Point""}","-37.5148577937, 143.7088473591"
Wendouree,00212542,C.E Brown Reserve,PF-Sports Ground Lig,OS-District,Charles Edward Brown,Double Square,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8428685317, -37.5379138073], ""type"": ""Point""}","-37.5379138073, 143.8428685317"
Wendouree,00212547,C.E Brown Reserve,PF-Street Light,OS-District,Charles Edward Brown,Single Street Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8428209761, -37.5347048133], ""type"": ""Point""}","-37.5347048133, 143.8428209761"
Wendouree,00212550,C.E Brown Reserve,PF-Street Light,OS-District,Charles Edward Brown,Single Street Light,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8424079937, -37.5362319507], ""type"": ""Point""}","-37.5362319507, 143.8424079937"
Wendouree,00212551,C.E Brown Reserve,PF-Sports Ground Lig,OS-District,Charles Edward Brown,2 Rectangular Lights,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8428849414, -37.5364940607], ""type"": ""Point""}","-37.5364940607, 143.8428849414"
Wendouree,00212552,C.E Brown Reserve,PF-Sports Ground Lig,OS-District,Charles Edward Brown,Double Square,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8452379966, -37.5378239929], ""type"": ""Point""}","-37.5378239929, 143.8452379966"
Wendouree,00212553,C.E Brown Reserve,PF-Street Light,OS-District,Charles Edward Brown,Mercury 80W on Timbe,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8415000136, -37.5373170497], ""type"": ""Point""}","-37.5373170497, 143.8415000136"
Wendouree,00212576,NORTHERN OVAL,PF-Sports Ground Lig,OS-District,Charles Edward Brown,AFL GROUND LIGHTING,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.846021, -37.537064], ""type"": ""Point""}","-37.537064, 143.846021"
Wendouree,00212588,NORTHERN OVAL,PF-Sports Ground Lig,OS-District,Charles Edward Brown,NETBALL COURT LIGHT,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8473728903, -37.5384968983], ""type"": ""Point""}","-37.5384968983, 143.8473728903"
Wendouree,00212590,NORTHERN OVAL,PF-Sports Ground Lig,OS-District,Charles Edward Brown,STANDALONE LIGHT,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8468853326, -37.5381234429], ""type"": ""Point""}","-37.5381234429, 143.8468853326"
Eureka,00212687,,PF-Path Lights,OS-Regional,Eureka Stockade,Bollard Light 3,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8834159905, -37.5649550123], ""type"": ""Point""}","-37.5649550123, 143.8834159905"
Eureka,00212703,,PF-Path Lights,OS-Regional,Eureka Stockade,Ground Uplight,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8830613743, -37.5658160006], ""type"": ""Point""}","-37.5658160006, 143.8830613743"
Eureka,00212709,,PF-Street Light,OS-Regional,Eureka Stockade,Black Square Down Li,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8830510291, -37.5654969823], ""type"": ""Point""}","-37.5654969823, 143.8830510291"
Eureka,00212728,,PF-Pole Lights,OS-Regional,Eureka Stockade,4 Round On Bar,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8839759558, -37.5651369941], ""type"": ""Point""}","-37.5651369941, 143.8839759558"
Invermay,00212748,Invermay Recreation Reserve,PF-Sports Ground Lig,OS-District,Invermay Recreation,2 Rectangular Lights,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8744819984, -37.52229439], ""type"": ""Point""}","-37.52229439, 143.8744819984"
