area,central_asset_id,feature_location,feature_type,site_class,site_name,type,json_ogc_wkt_crs,json_geometry,geo_point_2d
Newington,00324627,Victoria Park Oval 4 Sport Lighting Pole No. 1,PF-Sports Ground Lig,OS-Regional,Victoria Park,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8213095, -37.56089115], ""type"": ""Point""}","-37.56089115, 143.8213095"
Newington,00324632,Victoria Park Oval 4 Sport Lighting Pole No. 5,PF-Sports Ground Lig,OS-Regional,Victoria Park,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.82051228, -37.56061638], ""type"": ""Point""}","-37.56061638, 143.82051228"
Newington,00324633,Victoria Park Oval 4 Sport Lighting Pole No. 6,PF-Sports Ground Lig,OS-Regional,Victoria Park,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8201503, -37.56182454], ""type"": ""Point""}","-37.56182454, 143.8201503"
Wendouree,00324712,Northern Oval Netball Court Sports Flood Light (LP,PF-Sports Ground Lig,OS-Regional,Northern Oval Reserv,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.84749554, -37.53748197], ""type"": ""Point""}","-37.53748197, 143.84749554"
Wendouree,00324758,Wendouree West Recreation Reserve Sports Floodligh,PF-Sports Ground Lig,OS-District,Wendouree West Recre,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.81872542, -37.52551449], ""type"": ""Point""}","-37.52551449, 143.81872542"
Wendouree,00324759,Wendouree West Recreation Reserve Sports Floodligh,PF-Sports Ground Lig,OS-District,Wendouree West Recre,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.81852364, -37.5244848], ""type"": ""Point""}","-37.5244848, 143.81852364"
Lake Wendouree,00324858,LLP2023,PF-Path Lights,OS-State,Lake Wendouree Reser,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8304392224, -37.5435097692], ""type"": ""Point""}","-37.5435097692, 143.8304392224"
Lake Wendouree,00324860,LLP2023,PF-Path Lights,OS-State,Lake Wendouree Reser,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8300961203, -37.5435176733], ""type"": ""Point""}","-37.5435176733, 143.8300961203"
Lake Wendouree,00324865,LLP2023,PF-Path Lights,OS-State,Lake Wendouree Reser,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8287791013, -37.5435978286], ""type"": ""Point""}","-37.5435978286, 143.8287791013"
Lake Wendouree,00324866,LLP2023,PF-Path Lights,OS-State,Lake Wendouree Reser,,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""EPSG"",""4326""]]","{""coordinates"": [143.8284062034, -37.5436397345], ""type"": ""Point""}","-37.5436397345, 143.8284062034"
