geo_point_2d,geo_shape,electricity_provider,outage_maplink,streetlight_faults,type,rating,lightid,extracted,lga_name,longitude,latitude,suburb,ward,postcode,easting,northing,projection,gisfid,address,usage,strname
"-38.0608356081, 145.3434728869","{""coordinates"": [145.3434728869, -38.0608356081], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,294238527,2024-06-07,Casey,145.34347288692396,-38.060835608135434,Berwick,Kowan,3806,354677,5786141,MGA2020 Zone 55,41351,Oshea Road Berwick 3806,,Oshea Road
"-38.0610082491, 145.3450627628","{""coordinates"": [145.3450627628, -38.0610082491], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,294238535,2024-06-07,Casey,145.34506276282482,-38.061008249095146,Berwick,Kowan,3806,354816,5786124,MGA2020 Zone 55,41359,Oshea Road Berwick 3806,,Oshea Road
"-38.1158268353, 145.2511982739","{""coordinates"": [145.2511982739, -38.1158268353], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,295066587,2024-06-07,Casey,145.25119827394576,-38.11582683526176,Cranbourne West,Cranbourne Gardens,3977,346696,5779890,MGA2020 Zone 55,41366,Cranbourne-Frankston Cranbourne West 3977,,Cranbourne-Frankston
"-38.1289797734, 145.3167508001","{""coordinates"": [145.3167508001, -38.1289797734], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,275035436,2024-06-07,Casey,145.31675080013466,-38.128979773362786,Clyde,Tooradin,3978,352469,5778537,MGA2020 Zone 55,41389,Wicket Road Clyde 3978,,Wicket Road
"-38.0610665415, 145.3436683339","{""coordinates"": [145.3436683339, -38.0610665415], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,294238542,2024-06-07,Casey,145.3436683339209,-38.06106654154806,Berwick,Kowan,3806,354694,5786115,MGA2020 Zone 55,41419,Skyline Way Berwick 3806,,Skyline Way
"-38.1011043632, 145.3874216886","{""coordinates"": [145.3874216886, -38.1011043632], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,293855832,2024-06-07,Casey,145.3874216886069,-38.10110436321399,Clyde North,Dillwynia,3978,358610,5781740,MGA2020 Zone 55,41440,Handsome Avenue Clyde North 3978,,Handsome Avenue
"-38.1285392996, 145.348337525","{""coordinates"": [145.348337525, -38.1285392996], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,270406273,2024-06-07,Casey,145.34833752498352,-38.128539299633246,Clyde,Tooradin,3978,355237,5778636,MGA2020 Zone 55,41459,Foundation Avenue Clyde 3978,,Foundation Avenue
"-38.1282117639, 145.3186821692","{""coordinates"": [145.3186821692, -38.1282117639], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,263020779,2024-06-07,Casey,145.31868216916183,-38.12821176392696,Clyde,Tooradin,3978,352637,5778625,MGA2020 Zone 55,41470,Slattery Street Clyde 3978,,Slattery Street
"-38.0734725481, 145.3604269177","{""coordinates"": [145.3604269177, -38.0734725481], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,259641628,2024-06-07,Casey,145.36042691773193,-38.07347254810415,Berwick,Dillwynia,3806,356189,5784765,MGA2020 Zone 55,41490,Cavill Lane Berwick 3806,,Cavill Lane
"-38.1233046227, 145.2401869217","{""coordinates"": [145.2401869217, -38.1233046227], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,259658779,2024-06-07,Casey,145.24018692170108,-38.123304622742246,Cranbourne South,Cranbourne Gardens,3977,345746,5779042,MGA2020 Zone 55,41503,Limandus Crescent Cranbourne South 3977,,Limandus Crescent
"-38.1245034094, 145.2408413521","{""coordinates"": [145.2408413521, -38.1245034094], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,259658788,2024-06-07,Casey,145.24084135211555,-38.12450340935399,Cranbourne South,Cranbourne Gardens,3977,345806,5778910,MGA2020 Zone 55,41512,Dynasty Drive Cranbourne South 3977,,Dynasty Drive
"-38.1305965267, 145.314609893","{""coordinates"": [145.314609893, -38.1305965267], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,17.0,297780379,2024-06-07,Casey,145.31460989304927,-38.13059652671278,Cranbourne East,Tooradin,3977,352285,5778354,MGA2020 Zone 55,41614,Bloodstone Way Cranbourne East 3977,,Bloodstone Way
"-38.0809213521, 145.3526294882","{""coordinates"": [145.3526294882, -38.0809213521], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,298729744,2024-06-07,Casey,145.35262948816836,-38.080921352071755,Clyde North,Dillwynia,3978,355520,5783926,MGA2020 Zone 55,41619,Evica Road Clyde North 3978,,Evica Road
