geo_coordinates
"[-37.80168000012682, 144.97096299956016]"
"[-37.806659000331045, 144.97111499969273]"
"[-37.80109000004725, 144.9702759997199]"
"[-37.80109000004725, 144.9702759997199]"
"[-37.80222700005523, 144.9717200003247]"
"[-37.80221700015845, 144.97170700022465]"
"[-37.80216799968193, 144.97164700046932]"
"[-37.8021659996523, 144.97164399998422]"
"[-37.80153000035656, 144.97381700039912]"
"[-37.803017000132684, 144.97308499998852]"
"[-37.80268900003908, 144.9724530004937]"
"[-37.8014680001005, 144.97030600015287]"
"[-37.80594399973125, 144.97142499982272]"
"[-37.80595999963809, 144.97142000051787]"
"[-37.80602100036928, 144.97141999971763]"
"[-37.805275000263826, 144.96968300010911]"
"[-37.805403999983966, 144.97089799989814]"
"[-37.80575600032007, 144.9709660002828]"
"[-37.80575099965042, 144.97097400042824]"
"[-37.80567500026878, 144.9696040001413]"
"[-37.80587699962101, 144.97080000027637]"
"[-37.80583899993202, 144.97085200015408]"
"[-37.80583300018815, 144.97086300010352]"
"[-37.80579899988916, 144.97163999957624]"
"[-37.80581399992376, 144.97164799988025]"
"[-37.80584699971098, 144.9716699995981]"
"[-37.8052810002721, 144.97124499945977]"
"[-37.80543199956529, 144.97111499957452]"
"[-37.806300999894404, 144.970210999589]"
"[-37.80629599984122, 144.97021600011055]"
"[-37.80679499961489, 144.9724350002947]"
"[-37.80559199981648, 144.97262599998956]"
"[-37.80714500013346, 144.97269200042004]"
"[-37.80718800029212, 144.97271600028859]"
"[-37.806923000177555, 144.9725190005554]"
"[-37.806190000371934, 144.9703720004293]"
"[-37.80725299972514, 144.97276599993478]"
"[-37.805306999655464, 144.97009300000025]"
"[-37.80593599991339, 144.97174799980965]"
"[-37.80603200001701, 144.97182200027274]"
"[-37.80585700035371, 144.96955900024375]"
"[-37.80678999958366, 144.9724319998844]"
"[-37.80532000014761, 144.9711900003934]"
"[-37.806280999958624, 144.9713750002597]"
"[-37.80640799996563, 144.97135499953444]"
"[-37.80614399964596, 144.97119099998113]"
"[-37.805725000198976, 144.9712220000596]"
"[-37.80552599955465, 144.97205000002475]"
"[-37.80571000007121, 144.97143599995837]"
"[-37.805721999563595, 144.971438999537]"
"[-37.805364999684514, 144.969619999791]"
"[-37.80540799968306, 144.97094199971414]"
"[-37.806591000059, 144.96984899972492]"
"[-37.80715700033785, 144.97119999971744]"
"[-37.806958999495514, 144.96933800013684]"
"[-37.806951000059975, 144.9693479999656]"
"[-37.82082300030886, 144.9482059996392]"
